93715, UCBV(2) (0.5), UCBV(1.4) (0.5), -1, 3243652334544552, -0.742857142857143
62735, UCBV(2) (0.5), UCBV(1.4) (0.5), 1, 2322365523355636635111444, 0.388571428571429
42394, UCBV(2) (0.5), UCBV(1.4) (0.5), 1, 323323323044560544442666002002655, 0.205714285714286
12312, UCBV(2) (0.5), UCBV(1.4) (0.5), 1, 3535335621122214221156556630003600044, 0.114285714285714
50452, UCBV(2) (0.5), UCBV(1.4) (0.5), 1, 3443344131331152656552224255646, 0.251428571428571
22323, UCBV(2) (0.5), UCBV(1.4) (0.5), -1, 3532335225252253131114416604464451, -0.228571428571429
39123, UCBV(2) (0.5), UCBV(1.4) (0.5), -1, 3223436534544225, -0.742857142857143
75675, UCBV(2) (0.5), UCBV(1.4) (0.5), 1, 322345352553220444204005541011033666611, 0.0685714285714286
12392, UCBV(2) (0.5), UCBV(1.4) (0.5), 0, 353351551331122222256144444456000666600013, 0
11221, UCBV(2) (0.5), UCBV(1.4) (0.5), 1, 34334334466302422240261210101, 0.297142857142857
13200, UCBV(2) (0.5), UCBV(1.4) (0.5), 1, 34333444160211220, 0.571428571428572
99932, UCBV(2) (0.5), UCBV(1.4) (0.5), 1, 343433440204002245053055236225566, 0.205714285714286
65651, UCBV(2) (0.5), UCBV(1.4) (0.5), -1, 3253644343342263660242250000146611, -0.228571428571429
83737, UCBV(2) (0.5), UCBV(1.4) (0.5), -1, 3253645355355226003344, -0.571428571428571
20991, UCBV(2) (0.5), UCBV(1.4) (0.5), 1, 3434343, 0.8
87320, UCBV(2) (0.5), UCBV(1.4) (0.5), 1, 3433432330220462622664644000011, 0.251428571428571
66622, UCBV(2) (0.5), UCBV(1.4) (0.5), -1, 33426544636634442223366021011555, -0.285714285714286
11201, UCBV(2) (0.5), UCBV(1.4) (0.5), 1, 326354324322446612300236664400001111155, 0.0685714285714286
80107, UCBV(2) (0.5), UCBV(1.4) (0.5), 1, 3321534, 0.8
26391, UCBV(2) (0.5), UCBV(1.4) (0.5), -1, 3321454344223356553465406666, -0.4
80880, UCBV(2) (0.5), UCBV(1.4) (0.5), -1, 323353646466433242246112625141105555, -0.171428571428571
17172, UCBV(2) (0.5), UCBV(1.4) (0.5), -1, 3233526423341446556242535541210111, -0.228571428571429
60432, UCBV(2) (0.5), UCBV(1.4) (0.5), 1, 3324012234334406006361665112255, 0.251428571428571
87727, UCBV(2) (0.5), UCBV(1.4) (0.5), 1, 32332326223666131661441, 0.434285714285714
20111, UCBV(2) (0.5), UCBV(1.4) (0.5), 1, 323262253365665052552110033614111000644, 0.0685714285714286
10880, UCBV(2) (0.5), UCBV(1.4) (0.5), 1, 3322415, 0.8
98172, UCBV(2) (0.5), UCBV(1.4) (0.5), 1, 3343526, 0.8
10432, UCBV(2) (0.5), UCBV(1.4) (0.5), 0, 334265446566423423355225435000001111011266, 0
