93715, UCBV(2) (0.5), UCB1 (2), 1, 3223332265555366535666414244204000011, 0.114285714285714
62735, UCBV(2) (0.5), UCB1 (2), -1, 23223536435455020223001144, -0.457142857142857
42394, UCBV(2) (0.5), UCB1 (2), -1, 332154515522433141, -0.685714285714286
12312, UCBV(2) (0.5), UCB1 (2), 1, 3312113345454451153435222, 0.388571428571429
50452, UCBV(2) (0.5), UCB1 (2), 1, 334551551211306443343000001445522, 0.205714285714286
22323, UCBV(2) (0.5), UCB1 (2), -1, 3226223344535335141454, -0.571428571428571
39123, UCBV(2) (0.5), UCB1 (2), -1, 32322353463514442223151144655100000166, -0.114285714285714
75675, UCBV(2) (0.5), UCB1 (2), 0, 343334441221135554340502520021116666002566, 0
12392, UCBV(2) (0.5), UCB1 (2), -1, 322353643524644565, -0.685714285714286
11221, UCBV(2) (0.5), UCB1 (2), 0, 332154433441114223223650015560215566600046, 0
13200, UCBV(2) (0.5), UCB1 (2), 1, 31453314113443055530441006166600522, 0.16
99932, UCBV(2) (0.5), UCB1 (2), 0, 343334441216112222363666000062051555514405, 0
65651, UCBV(2) (0.5), UCB1 (2), 1, 3312113413214544223364664006620020655, 0.114285714285714
83737, UCBV(2) (0.5), UCB1 (2), 1, 343343433410110110066155666004622, 0.205714285714286
20991, UCBV(2) (0.5), UCB1 (2), 1, 340243354433565055622, 0.48
87320, UCBV(2) (0.5), UCB1 (2), 1, 322323223064666000334442054611141, 0.205714285714286
66622, UCBV(2) (0.5), UCB1 (2), 1, 3332232264662216663535551111050000044, 0.114285714285714
11201, UCBV(2) (0.5), UCB1 (2), 0, 332122453311245151135535646666220000044046, 0
80107, UCBV(2) (0.5), UCB1 (2), 1, 335455202332226125055000636636044, 0.205714285714286
26391, UCBV(2) (0.5), UCB1 (2), 1, 3324102233111220300101360646654446455, 0.114285714285714
80880, UCBV(2) (0.5), UCB1 (2), -1, 313313344114462226366404220505, -0.342857142857143
17172, UCBV(2) (0.5), UCB1 (2), 1, 343033446464466002555, 0.48
60432, UCBV(2) (0.5), UCB1 (2), 0, 323325355225334444454216111156000066066012, 0
87727, UCBV(2) (0.5), UCB1 (2), 0, 323336222662332555111551161656000000444444, 0
20111, UCBV(2) (0.5), UCB1 (2), -1, 326354434334220224006466555205566011, -0.171428571428571
10880, UCBV(2) (0.5), UCB1 (2), -1, 323323633511021225155444, -0.514285714285714
98172, UCBV(2) (0.5), UCB1 (2), 1, 323233224664436466634220400051055, 0.205714285714286
10432, UCBV(2) (0.5), UCB1 (2), 1, 343340344030030046661661114116555, 0.205714285714286
17727, UCBV(2) (0.5), UCB1 (2), -1, 322332453305550444302004221011151166, -0.171428571428571
10111, UCBV(2) (0.5), UCB1 (2), -1, 4330122122435544113242545161665566000330, -0.0571428571428572
12345, UCBV(2) (0.5), UCB1 (2), 0, 343344341440011133001001666622226625255555, 0
54321, UCBV(2) (0.5), UCB1 (2), -1, 3342654432622366325443000460062011, -0.228571428571429
67890, UCBV(2) (0.5), UCB1 (2), 1, 343433440202230003021445111, 0.342857142857143
19876, UCBV(2) (0.5), UCB1 (2), 1, 3233322026221006630006351555546446544, 0.114285714285714
29292, UCBV(2) (0.5), UCB1 (2), 0, 323332022424441366465555566340001011561102, 0
24680, UCBV(2) (0.5), UCB1 (2), -1, 34332024423252260656635535005611610011, -0.114285714285714
