93715, UCBV(2) (0.5), UCB1 (1.41), 1, 313113351411544646566544655020222, 0.205714285714286
62735, UCBV(2) (0.5), UCB1 (1.41), 0, 233653322606621111120012505550054644433446, 0
42394, UCBV(2) (0.5), UCB1 (1.41), 1, 322344635, 0.754285714285714
12312, UCBV(2) (0.5), UCB1 (1.41), 0, 343443341211000661160500546665222223355145, 0
50452, UCBV(2) (0.5), UCB1 (1.41), 1, 33215434223443225120555, 0.434285714285714
22323, UCBV(2) (0.5), UCB1 (1.41), 0, 334521222335545661153644324400000616610125, 0
39123, UCBV(2) (0.5), UCB1 (1.41), 1, 3346215, 0.8
75675, UCBV(2) (0.5), UCB1 (1.41), 0, 322533322556656366000050235101111144244446, 0
12392, UCBV(2) (0.5), UCB1 (1.41), 1, 34331041314114326220100355054606664555622, 0.0228571428571429
11221, UCBV(2) (0.5), UCB1 (1.41), -1, 33426544336466422530340010022061211155, -0.114285714285714
13200, UCBV(2) (0.5), UCB1 (1.41), -1, 32335264236334664412445111, -0.457142857142857
99932, UCBV(2) (0.5), UCB1 (1.41), 0, 334235223325545544451411122300166600001666, 0
65651, UCBV(2) (0.5), UCB1 (1.41), -1, 33426566434435655251, -0.628571428571429
83737, UCBV(2) (0.5), UCB1 (1.41), 0, 333222336525655661434112201105616500004444, 0
20991, UCBV(2) (0.5), UCB1 (1.41), -1, 343330044461551016115514065666533022, -0.171428571428571
87320, UCBV(2) (0.5), UCB1 (1.41), 1, 3223220335633444411, 0.525714285714286
66622, UCBV(2) (0.5), UCB1 (1.41), -1, 3233232332115454551115010424, -0.4
11201, UCBV(2) (0.5), UCB1 (1.41), -1, 334265442234436066322354200110606055, -0.171428571428571
80107, UCBV(2) (0.5), UCB1 (1.41), 1, 351213113535522033020, 0.48
26391, UCBV(2) (0.5), UCB1 (1.41), -1, 334265524425533415, -0.685714285714286
80880, UCBV(2) (0.5), UCB1 (1.41), 1, 3342654644336363661222111441200000255, 0.114285714285714
17172, UCBV(2) (0.5), UCB1 (1.41), 1, 3223223345150556620444204645066563011, 0.114285714285714
60432, UCBV(2) (0.5), UCB1 (1.41), 1, 3354215255122113362021163366656000044, 0.114285714285714
87727, UCBV(2) (0.5), UCB1 (1.41), -1, 334512443324256442255362, -0.514285714285714
20111, UCBV(2) (0.5), UCB1 (1.41), 1, 313344526, 0.754285714285714
10880, UCBV(2) (0.5), UCB1 (1.41), 0, 343334414244112221121663565666325555000000, 0
98172, UCBV(2) (0.5), UCB1 (1.41), 0, 334265244565536632243543421011166121500000, 0
10432, UCBV(2) (0.5), UCB1 (1.41), -1, 33562401345212553434, -0.628571428571429
17727, UCBV(2) (0.5), UCB1 (1.41), 1, 3054335443565, 0.662857142857143
10111, UCBV(2) (0.5), UCB1 (1.41), 1, 4343033404050, 0.662857142857143
12345, UCBV(2) (0.5), UCB1 (1.41), 1, 33214525242, 0.708571428571429
54321, UCBV(2) (0.5), UCB1 (1.41), -1, 3342564344233224432520055550066611, -0.228571428571429
67890, UCBV(2) (0.5), UCB1 (1.41), -1, 3354434331441112221360665551466006002022, -0.0571428571428572
19876, UCBV(2) (0.5), UCB1 (1.41), 0, 323352645455344223354425666100600020611111, 0
