93715, UCB1 (1.41), UCBV(1.4) (0.5), -1, 3345124434113443031505566522006222, -0.228571428571429
62735, UCB1 (1.41), UCBV(1.4) (0.5), 1, 32453433422432124030200466600666555, 0.16
42394, UCB1 (1.41), UCBV(1.4) (0.5), 1, 3433345441113400550320141606665665022, 0.114285714285714
12312, UCB1 (1.41), UCBV(1.4) (0.5), -1, 3401331303301104441060666156465555, -0.228571428571429
50452, UCB1 (1.41), UCBV(1.4) (0.5), 1, 3434334004320222005663016446622611155, 0.114285714285714
22323, UCB1 (1.41), UCBV(1.4) (0.5), 1, 3443434430630430000222625521666555511, 0.114285714285714
39123, UCB1 (1.41), UCBV(1.4) (0.5), 1, 3354204323324113442114616166622000055, 0.114285714285714
75675, UCB1 (1.41), UCBV(1.4) (0.5), 1, 533121135055326130061636612600220245544, 0.0685714285714286
12392, UCB1 (1.41), UCBV(1.4) (0.5), -1, 32323324442554224355050000341115661166, -0.114285714285714
11221, UCB1 (1.41), UCBV(1.4) (0.5), -1, 434644033063626602445111010055155322, -0.171428571428571
13200, UCB1 (1.41), UCBV(1.4) (0.5), 0, 323353462554433445022004200656601616111125, 0
99932, UCB1 (1.41), UCBV(1.4) (0.5), 1, 3321541335454424220, 0.525714285714286
65651, UCB1 (1.41), UCBV(1.4) (0.5), -1, 334265434435255362663454660500021022, -0.171428571428571
83737, UCB1 (1.41), UCBV(1.4) (0.5), 1, 32323324242244343516466611611000000, 0.16
20991, UCB1 (1.41), UCBV(1.4) (0.5), -1, 335264344526, -0.857142857142857
87320, UCB1 (1.41), UCBV(1.4) (0.5), 0, 334265254553443362663454020226000106511111, 0
66622, UCB1 (1.41), UCBV(1.4) (0.5), -1, 34434433020050055441153306115166, -0.285714285714286
11201, UCB1 (1.41), UCBV(1.4) (0.5), -1, 325364344526, -0.857142857142857
80107, UCB1 (1.41), UCBV(1.4) (0.5), -1, 322325223355531606602003666540451111, -0.171428571428571
26391, UCB1 (1.41), UCBV(1.4) (0.5), 1, 33426562245234344553636, 0.434285714285714
80880, UCB1 (1.41), UCBV(1.4) (0.5), -1, 3345124411433404656565, -0.571428571428571
17172, UCB1 (1.41), UCBV(1.4) (0.5), -1, 433344341414, -0.857142857142857
60432, UCB1 (1.41), UCBV(1.4) (0.5), -1, 343033445563455541311222, -0.514285714285714
87727, UCB1 (1.41), UCBV(1.4) (0.5), -1, 43443122234231112362666311644600005555, -0.114285714285714
20111, UCB1 (1.41), UCBV(1.4) (0.5), 1, 3321514, 0.8
10880, UCB1 (1.41), UCBV(1.4) (0.5), 1, 33426562606, 0.708571428571429
98172, UCB1 (1.41), UCBV(1.4) (0.5), 1, 3433433111554444301150522, 0.388571428571429
10432, UCB1 (1.41), UCBV(1.4) (0.5), -1, 233235332456, -0.857142857142857
17727, UCB1 (1.41), UCBV(1.4) (0.5), -1, 2333632332266006444566055544002211, -0.228571428571429
10111, UCB1 (1.41), UCBV(1.4) (0.5), -1, 335443340204244200636565, -0.514285714285714
12345, UCB1 (1.41), UCBV(1.4) (0.5), 1, 30452133212245114432554000213160055, 0.16
54321, UCB1 (1.41), UCBV(1.4) (0.5), -1, 34330242232332646142661001004161, -0.285714285714286
67890, UCB1 (1.41), UCBV(1.4) (0.5), -1, 322332323326265555016444, -0.514285714285714
19876, UCB1 (1.41), UCBV(1.4) (0.5), -1, 3433431343, -0.914285714285714
29292, UCB1 (1.41), UCBV(1.4) (0.5), -1, 343343300443666110100166154155652222, -0.171428571428571
24680, UCB1 (1.41), UCBV(1.4) (0.5), 0, 332145234332441221131441650555500600026666, 0
