93715, UCB1 (1.41), UCB1 (2), -1, 335434150242, -0.857142857142857
62735, UCB1 (1.41), UCB1 (2), 1, 343443434432535522000022266551611150166, 0.0685714285714286
42394, UCB1 (1.41), UCB1 (2), -1, 32332256365646, -0.8
12312, UCB1 (1.41), UCB1 (2), -1, 34334330446110061011666065354155, -0.285714285714286
50452, UCB1 (1.41), UCB1 (2), -1, 35213312321221552444, -0.628571428571429
22323, UCB1 (1.41), UCB1 (2), 1, 3233233552023220600601565566611, 0.251428571428571
39123, UCB1 (1.41), UCB1 (2), -1, 336402342434, -0.857142857142857
75675, UCB1 (1.41), UCB1 (2), 1, 545155333232331224462, 0.48
12392, UCB1 (1.41), UCB1 (2), 1, 323332622464441266344230600006011, 0.205714285714286
11221, UCB1 (1.41), UCB1 (2), -1, 43434430100133161122, -0.628571428571429
13200, UCB1 (1.41), UCB1 (2), -1, 33215422535536614114, -0.628571428571429
99932, UCB1 (1.41), UCB1 (2), -1, 343334442132, -0.857142857142857
65651, UCB1 (1.41), UCB1 (2), -1, 32643433446664555545605000222263, -0.285714285714286
83737, UCB1 (1.41), UCB1 (2), 1, 311343562, 0.754285714285714
20991, UCB1 (1.41), UCB1 (2), -1, 343343033114466100661422224221, -0.342857142857143
87320, UCB1 (1.41), UCB1 (2), 1, 3434334432634450022212260006666055511, 0.114285714285714
66622, UCB1 (1.41), UCB1 (2), 0, 353353325255225314426666644260001114000114, 0
11201, UCB1 (1.41), UCB1 (2), -1, 33426523433422625565, -0.628571428571429
80107, UCB1 (1.41), UCB1 (2), 1, 3325104, 0.8
26391, UCB1 (1.41), UCB1 (2), 1, 3332323326002522504005655666611, 0.251428571428571
80880, UCB1 (1.41), UCB1 (2), -1, 334256445553341225, -0.685714285714286
17172, UCB1 (1.41), UCB1 (2), -1, 43302443434433025222005111, -0.457142857142857
60432, UCB1 (1.41), UCB1 (2), 1, 3324011464413134331066405006555665122, 0.114285714285714
87727, UCB1 (1.41), UCB1 (2), -1, 43443424423322020002131505, -0.457142857142857
20111, UCB1 (1.41), UCB1 (2), -1, 3233262203033500255414, -0.571428571428571
10880, UCB1 (1.41), UCB1 (2), 1, 3322140, 0.8
98172, UCB1 (1.41), UCB1 (2), -1, 3233233200556444543225, -0.571428571428571
10432, UCB1 (1.41), UCB1 (2), -1, 2322323223441100444311, -0.571428571428571
17727, UCB1 (1.41), UCB1 (2), -1, 2333223544243414, -0.742857142857143
10111, UCB1 (1.41), UCB1 (2), -1, 331211310113454442356262, -0.514285714285714
12345, UCB1 (1.41), UCB1 (2), 1, 343334446134555511636655000006611222422, 0.0685714285714286
54321, UCB1 (1.41), UCB1 (2), -1, 3233265553233422544565610111661644, -0.228571428571429
67890, UCB1 (1.41), UCB1 (2), 1, 3433446141611655566233435005145000622, 0.114285714285714
19876, UCB1 (1.41), UCB1 (2), -1, 323223325546506004313610555266111044, -0.171428571428571
29292, UCB1 (1.41), UCB1 (2), 1, 3342564433555423644622530500001662211, 0.114285714285714
24680, UCB1 (1.41), UCB1 (2), -1, 3433212422514151, -0.742857142857143
13579, UCB1 (1.41), UCB1 (2), -1, 1334543414, -0.914285714285714
15937, UCB1 (1.41), UCB1 (2), 1, 433433401141164460300036660555522, 0.205714285714286
24068, UCB1 (1.41), UCB1 (2), -1, 32332332022505110032544411, -0.457142857142857
91357, UCB1 (1.41), UCB1 (2), 1, 31331335555113552224444440022110200, 0.16
93715, UCB1 (2), UCB1 (1.41), 0, 322533530330005555022101111166626626444444, 0
62735, UCB1 (2), UCB1 (1.41), 1, 332154224241445221106510060065533, 0.205714285714286
42394, UCB1 (2), UCB1 (1.41), -1, 332154433441114223225355261050, -0.342857142857143
12312, UCB1 (2), UCB1 (1.41), 1, 3133545544433551141151403000006666622, 0.114285714285714
50452, UCB1 (2), UCB1 (1.41), -1, 34334334061212110064044060661155, -0.285714285714286
22323, UCB1 (2), UCB1 (1.41), -1, 3233454525542363322412, -0.571428571428571
39123, UCB1 (2), UCB1 (1.41), -1, 323323225334454404110101, -0.514285714285714
75675, UCB1 (2), UCB1 (1.41), 1, 233236334626602522300055606155444, 0.205714285714286
12392, UCB1 (2), UCB1 (1.41), 1, 33426544334262252554606, 0.434285714285714
11221, UCB1 (2), UCB1 (1.41), -1, 323322322555006505506266311036111144, -0.171428571428571
13200, UCB1 (2), UCB1 (1.41), 0, 332145252245541140533433451100206210066666, 0
99932, UCB1 (2), UCB1 (1.41), -1, 33425622244656645524551111060161000233, -0.114285714285714
65651, UCB1 (2), UCB1 (1.41), 1, 4334301341143205341151556066600546622, 0.114285714285714
83737, UCB1 (2), UCB1 (1.41), 1, 23365356552663223200030025066144111, 0.16
20991, UCB1 (2), UCB1 (1.41), 1, 3321554, 0.8
87320, UCB1 (2), UCB1 (1.41), 1, 32322233643164446650300255546, 0.297142857142857
66622, UCB1 (2), UCB1 (1.41), 1, 3233625423355462662155644, 0.388571428571429
11201, UCB1 (2), UCB1 (1.41), -1, 33424344562332040023600466555011, -0.285714285714286
