93715, GREEDY, UCB1 (2) (100), 1, 33303430414340022424202, 0.434285714285714
62735, GREEDY, UCB1 (2) (100), 1, 3633303226266223211516101, 0.388571428571429
42394, GREEDY, UCB1 (2) (100), 1, 333235332121211215525651464, 0.342857142857143
12312, GREEDY, UCB1 (2) (100), 1, 3332322020300115101, 0.525714285714286
50452, GREEDY, UCB1 (2) (100), -1, 33303033022221211114, -0.628571428571429
22323, GREEDY, UCB1 (2) (100), 1, 3435313, 0.8
39123, GREEDY, UCB1 (2) (100), 1, 323232243, 0.754285714285714
75675, GREEDY, UCB1 (2) (100), 1, 333031303, 0.754285714285714
12392, GREEDY, UCB1 (2) (100), 1, 333332222023244540414, 0.48
11221, GREEDY, UCB1 (2) (100), 1, 363332322025223055511005111645404, 0.205714285714286
93715, GREEDY, UCB1 (2) (500), 1, 33343633464446611111222, 0.434285714285714
62735, GREEDY, UCB1 (2) (500), 1, 363334304641404, 0.617142857142857
42394, GREEDY, UCB1 (2) (500), -1, 3334323322244422441111, -0.571428571428571
12312, GREEDY, UCB1 (2) (500), -1, 31363331161031266422, -0.628571428571429
50452, GREEDY, UCB1 (2) (500), 1, 3332343446412423262, 0.525714285714286
22323, GREEDY, UCB1 (2) (500), 0, 323332252322355550444144101111004500666666, 0
39123, GREEDY, UCB1 (2) (500), 1, 3234323, 0.8
75675, GREEDY, UCB1 (2) (500), -1, 333234312322224441141411, -0.514285714285714
12392, GREEDY, UCB1 (2) (500), -1, 33303030032220211211, -0.628571428571429
11221, GREEDY, UCB1 (2) (500), 1, 3635313, 0.8
93715, GREEDY, UCB1 (2) (1000), -1, 343233362224442436266040060011, -0.342857142857143
62735, GREEDY, UCB1 (2) (1000), 0, 323233262233255556566111144146444610000050, 0
42394, GREEDY, UCB1 (2) (1000), -1, 32333222352550544544, -0.628571428571429
12312, GREEDY, UCB1 (2) (1000), 1, 3430333442422620200646632, 0.388571428571429
50452, GREEDY, UCB1 (2) (1000), -1, 34343344322224243625555511, -0.457142857142857
22323, GREEDY, UCB1 (2) (1000), 1, 3430333344464622222665555524050001111, 0.114285714285714
39123, GREEDY, UCB1 (2) (1000), -1, 3232332325223556554044, -0.571428571428571
75675, GREEDY, UCB1 (2) (1000), -1, 3333322220263556566151, -0.571428571428571
12392, GREEDY, UCB1 (2) (1000), 1, 343336314646644110122322201, 0.342857142857143
11221, GREEDY, UCB1 (2) (1000), -1, 333335355055242220244440042011, -0.342857142857143
93715, GREEDY, UCB1 (2) (2500), -1, 343334414131134416252622, -0.514285714285714
62735, GREEDY, UCB1 (2) (2500), -1, 3333344441411310112022, -0.571428571428571
42394, GREEDY, UCB1 (2) (2500), -1, 3335313315115445444222, -0.571428571428571
12312, GREEDY, UCB1 (2) (2500), -1, 343334443146311616622122, -0.514285714285714
50452, GREEDY, UCB1 (2) (2500), -1, 343331344442212215, -0.685714285714286
22323, GREEDY, UCB1 (2) (2500), -1, 34343344304030022222204011, -0.457142857142857
39123, GREEDY, UCB1 (2) (2500), -1, 32333226203022300114114644, -0.457142857142857
75675, GREEDY, UCB1 (2) (2500), -1, 3335313315115442454422, -0.571428571428571
12392, GREEDY, UCB1 (2) (2500), -1, 32333220223030011611162661464544, -0.285714285714286
11221, GREEDY, UCB1 (2) (2500), 1, 3331343341411446155556566622252, 0.251428571428571
93715, GREEDY, UCB1 (2) (5000), -1, 3433344431463616611122, -0.571428571428571
