93715, GREEDY, UCBV (1.4) (0.5) (100), 1, 33333222202635544545464, 0.434285714285714
62735, GREEDY, UCBV (1.4) (0.5) (100), -1, 3433344346403004055656622022, -0.4
42394, GREEDY, UCBV (1.4) (0.5) (100), 1, 3232332424464532455, 0.525714285714286
12312, GREEDY, UCBV (1.4) (0.5) (100), 1, 32333132252421151553444, 0.434285714285714
50452, GREEDY, UCBV (1.4) (0.5) (100), 1, 33303330022421224141114, 0.434285714285714
22323, GREEDY, UCBV (1.4) (0.5) (100), -1, 3334334143441611102422, -0.571428571428571
39123, GREEDY, UCBV (1.4) (0.5) (100), -1, 303030033036242224464121, -0.514285714285714
75675, GREEDY, UCBV (1.4) (0.5) (100), 1, 3532353, 0.8
12392, GREEDY, UCBV (1.4) (0.5) (100), -1, 34333034464544365050066556212022, -0.285714285714286
11221, GREEDY, UCBV (1.4) (0.5) (100), 1, 303433322226254543414, 0.48
93715, GREEDY, UCBV (1.4) (0.5) (500), 1, 333134304442222520463, 0.48
62735, GREEDY, UCBV (1.4) (0.5) (500), -1, 31333435424224, -0.8
42394, GREEDY, UCBV (1.4) (0.5) (500), 1, 32303332262020023646644441111, 0.297142857142857
12312, GREEDY, UCBV (1.4) (0.5) (500), -1, 32333220203001223514114044, -0.457142857142857
50452, GREEDY, UCBV (1.4) (0.5) (500), 1, 33303535553, 0.708571428571429
22323, GREEDY, UCBV (1.4) (0.5) (500), 1, 3335323223262256566055404, 0.388571428571429
39123, GREEDY, UCBV (1.4) (0.5) (500), 1, 3034343, 0.8
75675, GREEDY, UCBV (1.4) (0.5) (500), 1, 353330313550500011151522242, 0.342857142857143
12392, GREEDY, UCBV (1.4) (0.5) (500), 1, 3431353, 0.8
11221, GREEDY, UCBV (1.4) (0.5) (500), -1, 30333030022226232550515511, -0.457142857142857
93715, GREEDY, UCBV (1.4) (0.5) (1000), 1, 333431334141164416266222212004055, 0.205714285714286
62735, GREEDY, UCBV (1.4) (0.5) (1000), 1, 303334304004404431111515522, 0.342857142857143
42394, GREEDY, UCBV (1.4) (0.5) (1000), -1, 3233322024324144, -0.742857142857143
12312, GREEDY, UCBV (1.4) (0.5) (1000), -1, 333232202033220600444646604411, -0.342857142857143
50452, GREEDY, UCBV (1.4) (0.5) (1000), 1, 33353535535446444020200626662, 0.297142857142857
22323, GREEDY, UCBV (1.4) (0.5) (1000), 1, 34333442422525355, 0.571428571428572
39123, GREEDY, UCBV (1.4) (0.5) (1000), -1, 30303003344446443622266525, -0.457142857142857
75675, GREEDY, UCBV (1.4) (0.5) (1000), -1, 3330333440444406062665222525, -0.4
12392, GREEDY, UCBV (1.4) (0.5) (1000), 1, 333131361314444646612220002, 0.342857142857143
11221, GREEDY, UCBV (1.4) (0.5) (1000), 1, 31333335101511555444404004222, 0.297142857142857
93715, GREEDY, UCBV (1.4) (0.5) (2500), -1, 3233322020300236264661444111441555, -0.228571428571429
62735, GREEDY, UCBV (1.4) (0.5) (2500), 1, 34343342422234263111161665555656214000005, 0.0228571428571429
42394, GREEDY, UCBV (1.4) (0.5) (2500), 1, 3532333525562622366112111656444, 0.251428571428571
12312, GREEDY, UCBV (1.4) (0.5) (2500), -1, 34343443322126224535, -0.628571428571429
50452, GREEDY, UCBV (1.4) (0.5) (2500), -1, 34333232222445, -0.8
22323, GREEDY, UCBV (1.4) (0.5) (2500), -1, 34333036464446613110110022, -0.457142857142857
39123, GREEDY, UCBV (1.4) (0.5) (2500), -1, 343334443041361110100622, -0.514285714285714
75675, GREEDY, UCBV (1.4) (0.5) (2500), 1, 3330343340400445565552222221111, 0.251428571428571
12392, GREEDY, UCBV (1.4) (0.5) (2500), -1, 33323223252235544445, -0.628571428571429
11221, GREEDY, UCBV (1.4) (0.5) (2500), -1, 31313113344340441222, -0.628571428571429
93715, GREEDY, UCBV (1.4) (0.5) (5000), -1, 323332223524454441, -0.685714285714286
62735, GREEDY, UCBV (1.4) (0.5) (5000), -1, 34343341413110443222, -0.628571428571429
42394, GREEDY, UCBV (1.4) (0.5) (5000), -1, 353335355222232444, -0.685714285714286
12312, GREEDY, UCBV (1.4) (0.5) (5000), -1, 34333441463644366116112222, -0.457142857142857
50452, GREEDY, UCBV (1.4) (0.5) (5000), 0, 343433424431212112263616602400001650555556, 0
22323, GREEDY, UCBV (1.4) (0.5) (5000), -1, 343330344441301001141222, -0.514285714285714
39123, GREEDY, UCBV (1.4) (0.5) (5000), 1, 3430353, 0.8
75675, GREEDY, UCBV (1.4) (0.5) (5000), -1, 33343440403003442220202211, -0.457142857142857
12392, GREEDY, UCBV (1.4) (0.5) (5000), -1, 333131331414414422, -0.685714285714286
11221, GREEDY, UCBV (1.4) (0.5) (5000), -1, 3133343114441144322622, -0.571428571428571
93715, GREEDY, UCBV (1.4) (0.5) (7500), -1, 32333222352230505001551414, -0.457142857142857
62735, GREEDY, UCBV (1.4) (0.5) (7500), 1, 3433344431411011322220200, 0.388571428571429
42394, GREEDY, UCBV (1.4) (0.5) (7500), -1, 35333232222350555244, -0.628571428571429
12312, GREEDY, UCBV (1.4) (0.5) (7500), -1, 3434334242232244321511115550500600, -0.228571428571429
50452, GREEDY, UCBV (1.4) (0.5) (7500), 1, 343233322224464646643620000111110, 0.205714285714286
22323, GREEDY, UCBV (1.4) (0.5) (7500), -1, 34343344314110113222, -0.628571428571429
39123, GREEDY, UCBV (1.4) (0.5) (7500), -1, 313334311444122122, -0.685714285714286
75675, GREEDY, UCBV (1.4) (0.5) (7500), 1, 33313133141442222426461, 0.434285714285714
12392, GREEDY, UCBV (1.4) (0.5) (7500), 1, 3335323325255022500606266446444540101, 0.114285714285714
11221, GREEDY, UCBV (1.4) (0.5) (7500), -1, 31333531151551344445452122, -0.457142857142857
93715, GREEDY, UCBV (1.4) (0.5) (10000), 1, 32333035202220044545564436566, 0.297142857142857
62735, GREEDY, UCBV (1.4) (0.5) (10000), 1, 3433344640304430062665222125525, 0.251428571428571
42394, GREEDY, UCBV (1.4) (0.5) (10000), -1, 353335355222242344, -0.685714285714286
12312, GREEDY, UCBV (1.4) (0.5) (10000), -1, 3434344331463111102122, -0.571428571428571
50452, GREEDY, UCBV (1.4) (0.5) (10000), -1, 34343344322224232645555655, -0.457142857142857
22323, GREEDY, UCBV (1.4) (0.5) (10000), -1, 34333442422235, -0.8
39123, GREEDY, UCBV (1.4) (0.5) (10000), -1, 3133313114444222, -0.742857142857143
75675, GREEDY, UCBV (1.4) (0.5) (10000), 1, 333232252233555656266040400110414, 0.205714285714286
12392, GREEDY, UCBV (1.4) (0.5) (10000), -1, 33323225253553225044, -0.628571428571429
11221, GREEDY, UCBV (1.4) (0.5) (10000), -1, 313433311014424322, -0.685714285714286
93715, GREEDY, UCBV (1.4) (0.5) (12500), -1, 32323325253554224446, -0.628571428571429
62735, GREEDY, UCBV (1.4) (0.5) (12500), -1, 333432332424412241111426166655, -0.342857142857143
42394, GREEDY, UCBV (1.4) (0.5) (12500), -1, 35333135511152252226351244, -0.457142857142857
12312, GREEDY, UCBV (1.4) (0.5) (12500), -1, 3434344331463616611224212221, -0.4
50452, GREEDY, UCBV (1.4) (0.5) (12500), -1, 3433344141301516443156566556202522, -0.228571428571429
22323, GREEDY, UCBV (1.4) (0.5) (12500), 1, 3431333110114040044036222, 0.388571428571429
