93715, GREEDY, UCB1 (0), 1, 30333330002226212010141, 0.434285714285714
62735, GREEDY, UCB1 (0), 1, 313233362122151124404, 0.48
42394, GREEDY, UCB1 (0), 1, 32343332202520400140404, 0.434285714285714
12312, GREEDY, UCB1 (0), 1, 3136323, 0.8
50452, GREEDY, UCB1 (0), 1, 3031303, 0.8
22323, GREEDY, UCB1 (0), 1, 3534303, 0.8
39123, GREEDY, UCB1 (0), 1, 3434313, 0.8
75675, GREEDY, UCB1 (0), 1, 3034303, 0.8
12392, GREEDY, UCB1 (0), 1, 3435313, 0.8
11221, GREEDY, UCB1 (0), 1, 3632353, 0.8
13200, GREEDY, UCB1 (0), 1, 3031303, 0.8
99932, GREEDY, UCB1 (0), 1, 3036303, 0.8
65651, GREEDY, UCB1 (0), 1, 333136303, 0.754285714285714
83737, GREEDY, UCB1 (0), 1, 31333231122120203000102, 0.434285714285714
20991, GREEDY, UCB1 (0), 1, 3032303, 0.8
93715, GREEDY, UCB1 (0.01), 1, 3132313, 0.8
62735, GREEDY, UCB1 (0.01), 1, 3536313, 0.8
42394, GREEDY, UCB1 (0.01), 1, 3232303, 0.8
12312, GREEDY, UCB1 (0.01), 1, 323232203, 0.754285714285714
50452, GREEDY, UCB1 (0.01), 1, 3232313, 0.8
22323, GREEDY, UCB1 (0.01), 1, 3530333441434116104, 0.525714285714286
39123, GREEDY, UCB1 (0.01), -1, 3433344434342221, -0.742857142857143
75675, GREEDY, UCB1 (0.01), 1, 3031343, 0.8
12392, GREEDY, UCB1 (0.01), 1, 343033304543414, 0.617142857142857
11221, GREEDY, UCB1 (0.01), 1, 363633303550522002266020552111161144444, 0.0685714285714286
13200, GREEDY, UCB1 (0.01), 1, 3036303, 0.8
99932, GREEDY, UCB1 (0.01), 1, 3630313, 0.8
65651, GREEDY, UCB1 (0.01), 1, 33333530522425212, 0.571428571428572
83737, GREEDY, UCB1 (0.01), 1, 3235303, 0.8
20991, GREEDY, UCB1 (0.01), 1, 3133313116351155544444502662262, 0.251428571428571
93715, GREEDY, UCB1 (0.1), 1, 3031303, 0.8
62735, GREEDY, UCB1 (0.1), -1, 323332212130121530144144, -0.514285714285714
42394, GREEDY, UCB1 (0.1), 1, 3230323, 0.8
12312, GREEDY, UCB1 (0.1), 1, 33323130262121102, 0.571428571428572
50452, GREEDY, UCB1 (0.1), 1, 3230313, 0.8
22323, GREEDY, UCB1 (0.1), 1, 3531303, 0.8
39123, GREEDY, UCB1 (0.1), 1, 343331304440453111155150005022222, 0.205714285714286
75675, GREEDY, UCB1 (0.1), 1, 3031333113101601022, 0.525714285714286
12392, GREEDY, UCB1 (0.1), 1, 3435313, 0.8
11221, GREEDY, UCB1 (0.1), 1, 3630303, 0.8
13200, GREEDY, UCB1 (0.1), 1, 3034303, 0.8
99932, GREEDY, UCB1 (0.1), 1, 323330302424224340004420111, 0.342857142857143
65651, GREEDY, UCB1 (0.1), 1, 33323031222020063, 0.571428571428572
83737, GREEDY, UCB1 (0.1), 1, 3131323, 0.8
20991, GREEDY, UCB1 (0.1), 1, 3033303131100011242, 0.525714285714286
93715, GREEDY, UCB1 (0.8), 1, 3133313614114640404, 0.525714285714286
62735, GREEDY, UCB1 (0.8), -1, 333133351514144145545022, -0.514285714285714
42394, GREEDY, UCB1 (0.8), -1, 353335355222242344, -0.685714285714286
12312, GREEDY, UCB1 (0.8), 1, 3331333112112422244, 0.525714285714286
50452, GREEDY, UCB1 (0.8), 1, 303433304640044636622225245, 0.342857142857143
22323, GREEDY, UCB1 (0.8), -1, 333635335222225550264044, -0.514285714285714
39123, GREEDY, UCB1 (0.8), -1, 32313331112220, -0.8
75675, GREEDY, UCB1 (0.8), -1, 31313331144545445222, -0.628571428571429
12392, GREEDY, UCB1 (0.8), 1, 3233322620323001151116566256505, 0.251428571428571
11221, GREEDY, UCB1 (0.8), -1, 333336322226202001151114, -0.514285714285714
13200, GREEDY, UCB1 (0.8), -1, 3332322322344544465552, -0.571428571428571
99932, GREEDY, UCB1 (0.8), -1, 323433302224454121, -0.685714285714286
65651, GREEDY, UCB1 (0.8), 0, 333334464044311110100626602522205555241566, 0
83737, GREEDY, UCB1 (0.8), 1, 323533352225532055200446444, 0.342857142857143
20991, GREEDY, UCB1 (0.8), -1, 32333225223445455441, -0.628571428571429
93715, GREEDY, UCB1 (1), -1, 363334344441361664151156555022, -0.342857142857143
62735, GREEDY, UCB1 (1), 1, 3332353325255022500025404144461, 0.251428571428571
42394, GREEDY, UCB1 (1), 1, 3330353352222025500056264661444, 0.251428571428571
12312, GREEDY, UCB1 (1), -1, 323332223425454441, -0.685714285714286
50452, GREEDY, UCB1 (1), -1, 34333444322522, -0.8
22323, GREEDY, UCB1 (1), -1, 32333225203522505005344044, -0.457142857142857
39123, GREEDY, UCB1 (1), -1, 343433404131121122, -0.685714285714286
75675, GREEDY, UCB1 (1), -1, 34333440403644300626622225, -0.457142857142857
12392, GREEDY, UCB1 (1), 1, 3230333622252550500355264664464, 0.251428571428571
11221, GREEDY, UCB1 (1), -1, 31303331141222, -0.8
13200, GREEDY, UCB1 (1), 1, 333234332224442646255, 0.48
99932, GREEDY, UCB1 (1), 1, 3433344141311226262, 0.525714285714286
65651, GREEDY, UCB1 (1), 1, 3233353222235054444244555, 0.388571428571429
83737, GREEDY, UCB1 (1), 1, 323633322626623555565624404044040111110, 0.0685714285714286
20991, GREEDY, UCB1 (1), -1, 32323322362444404636624006001515, -0.285714285714286
93715, GREEDY, UCB1 (1.41), -1, 333430334040064422222626604611, -0.342857142857143
62735, GREEDY, UCB1 (1.41), -1, 32333222352553552044, -0.628571428571429
42394, GREEDY, UCB1 (1.41), -1, 3334303344414110100122, -0.571428571428571
12312, GREEDY, UCB1 (1.41), -1, 34343341413110443222, -0.628571428571429
50452, GREEDY, UCB1 (1.41), -1, 323332223522305655511010011044, -0.342857142857143
22323, GREEDY, UCB1 (1.41), -1, 34333234422245, -0.8
39123, GREEDY, UCB1 (1.41), -1, 343334443146341616611556555522, -0.342857142857143
75675, GREEDY, UCB1 (1.41), -1, 34343344322224203002004611, -0.457142857142857
12392, GREEDY, UCB1 (1.41), -1, 3233322022303006244144, -0.571428571428571
11221, GREEDY, UCB1 (1.41), -1, 313331311444443222, -0.685714285714286
13200, GREEDY, UCB1 (1.41), -1, 33323033252522555444, -0.628571428571429
99932, GREEDY, UCB1 (1.41), -1, 34333441413114322522, -0.628571428571429
65651, GREEDY, UCB1 (1.41), -1, 31333431144411463422, -0.628571428571429
83737, GREEDY, UCB1 (1.41), -1, 343330344646443660022522, -0.514285714285714
20991, GREEDY, UCB1 (1.41), -1, 303334304440043422222026161661101555, -0.171428571428571
93715, GREEDY, UCB1 (2), -1, 3433344431411212, -0.742857142857143
62735, GREEDY, UCB1 (2), -1, 33343443414431111222, -0.628571428571429
42394, GREEDY, UCB1 (2), -1, 32333222352032515515111544, -0.457142857142857
12312, GREEDY, UCB1 (2), -1, 323332223520325050005544, -0.514285714285714
50452, GREEDY, UCB1 (2), -1, 343334443146341616661122, -0.514285714285714
22323, GREEDY, UCB1 (2), -1, 34333444314116122122, -0.628571428571429
39123, GREEDY, UCB1 (2), -1, 33343443414431111622, -0.628571428571429
75675, GREEDY, UCB1 (2), -1, 32333222352550553520060044, -0.457142857142857
12392, GREEDY, UCB1 (2), -1, 343433443044300026222226660611, -0.342857142857143
11221, GREEDY, UCB1 (2), -1, 34333444314116113122, -0.628571428571429
13200, GREEDY, UCB1 (2), -1, 3335353352222522554044, -0.571428571428571
99932, GREEDY, UCB1 (2), -1, 3133313114444222, -0.742857142857143
65651, GREEDY, UCB1 (2), -1, 333434434644362122266111, -0.514285714285714
83737, GREEDY, UCB1 (2), -1, 323332223525505230550044, -0.514285714285714
20991, GREEDY, UCB1 (2), -1, 3233353222255056365526600044, -0.4
93715, GREEDY, UCB1 (5), -1, 34333444314314111622, -0.628571428571429
62735, GREEDY, UCB1 (5), -1, 32353333252556225444, -0.628571428571429
42394, GREEDY, UCB1 (5), -1, 33303030032221152211, -0.628571428571429
12312, GREEDY, UCB1 (5), -1, 34363333444646642222202000061515, -0.285714285714286
50452, GREEDY, UCB1 (5), -1, 333135331515511154424422, -0.514285714285714
22323, GREEDY, UCB1 (5), 1, 333232242441155040361, 0.48
39123, GREEDY, UCB1 (5), -1, 3534333546455244222121, -0.571428571428571
75675, GREEDY, UCB1 (5), -1, 313336331616641144454455, -0.514285714285714
12392, GREEDY, UCB1 (5), -1, 343434433643212122121121, -0.514285714285714
11221, GREEDY, UCB1 (5), -1, 35333535535222252444, -0.628571428571429
13200, GREEDY, UCB1 (5), -1, 323331332121142242444411, -0.514285714285714
99932, GREEDY, UCB1 (5), -1, 33313131131122252252555644, -0.457142857142857
65651, GREEDY, UCB1 (5), -1, 3334323322244422441111, -0.571428571428571
83737, GREEDY, UCB1 (5), -1, 33333321222110, -0.8
20991, GREEDY, UCB1 (5), 1, 3130333112122020002234454, 0.388571428571429
93715, GREEDY, UCB1 (8), -1, 323232233022355050055114144544, -0.342857142857143
62735, GREEDY, UCB1 (8), -1, 33313131131122252252555644, -0.457142857142857
42394, GREEDY, UCB1 (8), -1, 30353333505002222121, -0.628571428571429
12312, GREEDY, UCB1 (8), -1, 333435334545544114111222, -0.514285714285714
50452, GREEDY, UCB1 (8), 1, 3532363, 0.8
22323, GREEDY, UCB1 (8), 1, 3230363, 0.8
39123, GREEDY, UCB1 (8), -1, 333232202030032244464446660611, -0.342857142857143
75675, GREEDY, UCB1 (8), -1, 32323223302235505005511111444544, -0.285714285714286
12392, GREEDY, UCB1 (8), -1, 343434433643212122121121, -0.514285714285714
11221, GREEDY, UCB1 (8), -1, 333233232222464441411411155655, -0.342857142857143
13200, GREEDY, UCB1 (8), 1, 3431303, 0.8
99932, GREEDY, UCB1 (8), -1, 333232232322444644400006660611, -0.342857142857143
65651, GREEDY, UCB1 (8), -1, 303330300324242245, -0.685714285714286
83737, GREEDY, UCB1 (8), -1, 333232232322444644400606600611, -0.342857142857143
20991, GREEDY, UCB1 (8), -1, 333535335225242244, -0.685714285714286
93715, GREEDY, UCB1 (1000), 1, 3630343, 0.8
62735, GREEDY, UCB1 (1000), -1, 303330300324242245, -0.685714285714286
42394, GREEDY, UCB1 (1000), -1, 343434433346212121122126466155, -0.342857142857143
12312, GREEDY, UCB1 (1000), -1, 3131311333102422, -0.742857142857143
50452, GREEDY, UCB1 (1000), 1, 3231303, 0.8
22323, GREEDY, UCB1 (1000), 1, 3432303, 0.8
39123, GREEDY, UCB1 (1000), -1, 33323225253322555444, -0.628571428571429
75675, GREEDY, UCB1 (1000), -1, 303633332422244141, -0.685714285714286
12392, GREEDY, UCB1 (1000), -1, 3336333226266220200111, -0.571428571428571
11221, GREEDY, UCB1 (1000), -1, 313331311314444222, -0.685714285714286
13200, GREEDY, UCB1 (1000), -1, 35333535535222252444, -0.628571428571429
99932, GREEDY, UCB1 (1000), 1, 3436303, 0.8
65651, GREEDY, UCB1 (1000), 1, 3131311333102224244144224006000, 0.251428571428571
83737, GREEDY, UCB1 (1000), 1, 3631313, 0.8
20991, GREEDY, UCB1 (1000), 1, 3031303, 0.8
93715, GREEDY, UCB1 (3), 1, 323233223326264664444040060015111, 0.205714285714286
62735, GREEDY, UCB1 (3), -1, 33353533522225225444, -0.628571428571429
42394, GREEDY, UCB1 (3), -1, 32333222352352555044, -0.628571428571429
