93715, GREEDY, UCBM (2,5) (1), -1, 3133323225202231111550500155464044, -0.228571428571429
62735, GREEDY, UCBM (2.5) (1), 1, 35333035515110100130544542402, 0.297142857142857
42394, GREEDY, UCBM (2.5) (1), 0, 323233232522305550500114101144444015666666, 0
12312, GREEDY, UCBM (2.5) (1), -1, 31333134144642152122, -0.628571428571429
50452, GREEDY, UCBM (2.5) (1), 1, 323033312122141321424, 0.48
22323, GREEDY, UCBM (2.5) (1), 1, 303336344541404, 0.617142857142857
39123, GREEDY, UCBM (2.5) (1), 1, 3433313641434616614, 0.525714285714286
75675, GREEDY, UCBM (2.5) (1), 1, 3133303111322625252, 0.525714285714286
12392, GREEDY, UCBM (2.5) (1), 1, 33313531151156503, 0.571428571428572
11221, GREEDY, UCBM (2.5) (1), 1, 3234303, 0.8
13200, GREEDY, UCBM (2.5) (1), 1, 3135303, 0.8
99932, GREEDY, UCBM (2.5) (1), 1, 3233322626366021301000101, 0.388571428571429
65651, GREEDY, UCBM (2.5) (1), -1, 31333431101444422522, -0.628571428571429
83737, GREEDY, UCBM (2.5) (1), 1, 3135353, 0.8
20991, GREEDY, UCBM (2.5) (1), -1, 3233303623262220066606444440455555, -0.228571428571429
93715, GREEDY, UCBM (8.4) (1.8), 1, 363033322523262, 0.617142857142857
62735, GREEDY, UCBM (8.4) (1.8), 1, 333035335652222124424, 0.48
42394, GREEDY, UCBM (8.4) (1.8), 1, 323232203, 0.754285714285714
12312, GREEDY, UCBM (8.4) (1.8), 1, 3034313, 0.8
50452, GREEDY, UCBM (8.4) (1.8), -1, 3033343444422522, -0.742857142857143
22323, GREEDY, UCBM (8.4) (1.8), -1, 3636333441466041101222, -0.571428571428571
39123, GREEDY, UCBM (8.4) (1.8), -1, 3531333113155511544446, -0.571428571428571
75675, GREEDY, UCBM (8.4) (1.8), 1, 32363332252124424141104, 0.434285714285714
12392, GREEDY, UCBM (8.4) (1.8), 1, 3430313, 0.8
11221, GREEDY, UCBM (8.4) (1.8), 1, 3436343, 0.8
13200, GREEDY, UCBM (8.4) (1.8), 1, 313332311120202235100, 0.48
99932, GREEDY, UCBM (8.4) (1.8), 1, 333534344242532021101, 0.48
65651, GREEDY, UCBM (8.4) (1.8), 1, 33323632232522565051101110005, 0.297142857142857
83737, GREEDY, UCBM (8.4) (1.8), 1, 3233363422202540400646664, 0.388571428571429
20991, GREEDY, UCBM (8.4) (1.8), 1, 3236303, 0.8
93715, GREEDY, UCBM (3) (2), 1, 3032343, 0.8
62735, GREEDY, UCBM (3) (2), 1, 323332242530244141101, 0.48
42394, GREEDY, UCBM (3) (2), -1, 33313332222424404111, -0.628571428571429
12312, GREEDY, UCBM (3) (2), 1, 333235302522255356254640414, 0.342857142857143
50452, GREEDY, UCBM (3) (2), 1, 3033313536111015522525200, 0.388571428571429
22323, GREEDY, UCBM (3) (2), 1, 353330344644443550522005252220101, 0.205714285714286
39123, GREEDY, UCBM (3) (2), 1, 3430303, 0.8
75675, GREEDY, UCBM (3) (2), 1, 33303232252325525050011014404, 0.297142857142857
12392, GREEDY, UCBM (3) (2), 1, 3433323622224646644032455, 0.388571428571429
11221, GREEDY, UCBM (3) (2), 1, 363335335156511112266125202, 0.342857142857143
13200, GREEDY, UCBM (3) (2), 1, 3136303, 0.8
99932, GREEDY, UCBM (3) (2), 1, 3431343, 0.8
65651, GREEDY, UCBM (3) (2), 1, 333134311310404001422, 0.48
83737, GREEDY, UCBM (3) (2), -1, 32333034242245, -0.8
20991, GREEDY, UCBM (3) (2), 1, 3034303, 0.8
93715, GREEDY, UCBM (11) (1), -1, 333334444640311515, -0.685714285714286
62735, GREEDY, UCBM (11) (1), 1, 3332313023252211155250100, 0.388571428571429
42394, GREEDY, UCBM (11) (1), 1, 3031353, 0.8
12312, GREEDY, UCBM (11) (1), -1, 3633303444464666311010051155, -0.4
50452, GREEDY, UCBM (11) (1), 1, 3434323, 0.8
22323, GREEDY, UCBM (11) (1), -1, 3533353154414112442422225311, -0.4
39123, GREEDY, UCBM (11) (1), -1, 34333440463640300426602226221011, -0.285714285714286
75675, GREEDY, UCBM (11) (1), -1, 3133363114144341422122, -0.571428571428571
12392, GREEDY, UCBM (11) (1), 1, 33303434414040043, 0.571428571428572
11221, GREEDY, UCBM (11) (1), -1, 333434443346222222400606660011, -0.342857142857143
13200, GREEDY, UCBM (11) (1), 1, 30333030044244222326462660411, 0.297142857142857
99932, GREEDY, UCBM (11) (1), 1, 3235343, 0.8
65651, GREEDY, UCBM (11) (1), 1, 3334323324244122411114200, 0.388571428571429
83737, GREEDY, UCBM (11) (1), -1, 32333434422124, -0.8
20991, GREEDY, UCBM (11) (1), 1, 3232343, 0.8
93715, GREEDY, UCBM (1000) (200), 1, 3032323, 0.8
62735, GREEDY, UCBM (1000) (200), -1, 32323223302530500151, -0.628571428571429
42394, GREEDY, UCBM (1000) (200), 1, 323233223023244446400401101, 0.342857142857143
12312, GREEDY, UCBM (1000) (200), 1, 3134343, 0.8
50452, GREEDY, UCBM (1000) (200), 1, 3230303, 0.8
22323, GREEDY, UCBM (1000) (200), 1, 35353331511151305520200, 0.434285714285714
39123, GREEDY, UCBM (1000) (200), 1, 3435353, 0.8
75675, GREEDY, UCBM (1000) (200), 1, 30363334404002402021211, 0.434285714285714
12392, GREEDY, UCBM (1000) (200), 1, 3432313, 0.8
11221, GREEDY, UCBM (1000) (200), 1, 3630303, 0.8
13200, GREEDY, UCBM (1000) (200), 1, 3031313, 0.8
99932, GREEDY, UCBM (1000) (200), 1, 3231323, 0.8
65651, GREEDY, UCBM (1000) (200), 1, 333331301611100025202, 0.48
83737, GREEDY, UCBM (1000) (200), 1, 31323330212420100, 0.571428571428572
20991, GREEDY, UCBM (1000) (200), 1, 3035313, 0.8
93715, GREEDY, UCBM (0.3) (0.02), 1, 30353331355050001011115622252622444, 0.16
62735, GREEDY, UCBM (0.3) (0.02), 1, 3230303, 0.8
42394, GREEDY, UCBM (0.3) (0.02), 1, 3235323, 0.8
12312, GREEDY, UCBM (0.3) (0.02), 1, 33323131112425262, 0.571428571428572
50452, GREEDY, UCBM (0.3) (0.02), 1, 3230303, 0.8
22323, GREEDY, UCBM (0.3) (0.02), 1, 3530313, 0.8
39123, GREEDY, UCBM (0.3) (0.02), 1, 343434443, 0.754285714285714
75675, GREEDY, UCBM (0.3) (0.02), 1, 3132353, 0.8
12392, GREEDY, UCBM (0.3) (0.02), 1, 3432323, 0.8
11221, GREEDY, UCBM (0.3) (0.02), 1, 3635313, 0.8
13200, GREEDY, UCBM (0.3) (0.02), 1, 3032363, 0.8
99932, GREEDY, UCBM (0.3) (0.02), 1, 3231313, 0.8
65651, GREEDY, UCBM (0.3) (0.02), 1, 3336363222223, 0.662857142857143
83737, GREEDY, UCBM (0.3) (0.02), 1, 3131303, 0.8
20991, GREEDY, UCBM (0.3) (0.02), 1, 3034353, 0.8
93715, GREEDY, UCBM (9.4) (2.8), 1, 32333532242624464140301, 0.434285714285714
62735, GREEDY, UCBM (9.4) (2.8), 1, 3230323, 0.8
42394, GREEDY, UCBM (9.4) (2.8), 1, 3236333426266422464540355, 0.388571428571429
12312, GREEDY, UCBM (9.4) (2.8), 1, 313330303001101011252, 0.48
50452, GREEDY, UCBM (9.4) (2.8), 1, 3036343, 0.8
22323, GREEDY, UCBM (9.4) (2.8), 1, 363636623, 0.754285714285714
39123, GREEDY, UCBM (9.4) (2.8), -1, 333131301310144004414422, -0.514285714285714
75675, GREEDY, UCBM (9.4) (2.8), 1, 333330311412152625212, 0.48
12392, GREEDY, UCBM (9.4) (2.8), 1, 333130303, 0.754285714285714
11221, GREEDY, UCBM (9.4) (2.8), 1, 32323320263320011115144, 0.434285714285714
13200, GREEDY, UCBM (9.4) (2.8), 1, 3031313, 0.8
99932, GREEDY, UCBM (9.4) (2.8), 1, 33343030400043404, 0.571428571428572
65651, GREEDY, UCBM (9.4) (2.8), 1, 3432323, 0.8
83737, GREEDY, UCBM (9.4) (2.8), 1, 3131343, 0.8
20991, GREEDY, UCBM (9.4) (2.8), 1, 32333134212424411, 0.571428571428572
93715, GREEDY, UCBM (2.9) (1.4), 1, 343033344341411116222, 0.48
62735, GREEDY, UCBM (2.9) (1.4), 1, 3334323322252545524445400606006061111, 0.114285714285714
42394, GREEDY, UCBM (2.9) (1.4), 1, 3032323, 0.8
12312, GREEDY, UCBM (2.9) (1.4), 1, 3634303, 0.8
50452, GREEDY, UCBM (2.9) (1.4), 1, 363633366532202020025551111216544, 0.205714285714286
22323, GREEDY, UCBM (2.9) (1.4), 1, 3432303, 0.8
39123, GREEDY, UCBM (2.9) (1.4), 1, 3236313, 0.8
