93715, GREEDY, UCBV (1) (1), -1, 323233262535225444, -0.685714285714286
62735, GREEDY, UCBV (1) (1), 1, 333532332525502255200044444666460660111, 0.0685714285714286
42394, GREEDY, UCBV (1) (1), -1, 323332223524454441, -0.685714285714286
12312, GREEDY, UCBV (1) (1), -1, 343433443222242532555545, -0.514285714285714
50452, GREEDY, UCBV (1) (1), -1, 3233322022303006264661444541111455, -0.228571428571429
22323, GREEDY, UCBV (1) (1), -1, 34333444314116113122, -0.628571428571429
39123, GREEDY, UCBV (1) (1), -1, 3332322322355552554444, -0.571428571428571
75675, GREEDY, UCBV (1) (1), -1, 323332223520325550500116111044, -0.342857142857143
12392, GREEDY, UCBV (1) (1), -1, 3233322026362236600444454655, -0.4
11221, GREEDY, UCBV (1) (1), -1, 323332223520325050005544, -0.514285714285714
13200, GREEDY, UCBV (1) (1), -1, 3335313315155111552422, -0.571428571428571
99932, GREEDY, UCBV (1) (1), -1, 323332223520325050005544, -0.514285714285714
65651, GREEDY, UCBV (1) (1), -1, 323335322225544144, -0.685714285714286
83737, GREEDY, UCBV (1) (1), 1, 3334344646334024212226611, 0.388571428571429
20991, GREEDY, UCBV (1) (1), 1, 3232332626366522355655444, 0.388571428571429
93715, GREEDY, UCBV (1.1) (1.1), 1, 333232202322300555550041111, 0.342857142857143
62735, GREEDY, UCBV (1.1) (1.1), -1, 3133313114444222, -0.742857142857143
42394, GREEDY, UCBV (1.1) (1.1), -1, 323332223520325050005544, -0.514285714285714
12312, GREEDY, UCBV (1.1) (1.1), -1, 323332223520325050005544, -0.514285714285714
50452, GREEDY, UCBV (1.1) (1.1), -1, 323332223520325050005544, -0.514285714285714
22323, GREEDY, UCBV (1.1) (1.1), 1, 3335323325255222504446644, 0.388571428571429
39123, GREEDY, UCBV (1.1) (1.1), -1, 343433404131141222, -0.685714285714286
75675, GREEDY, UCBV (1.1) (1.1), -1, 353332322220325050005544, -0.514285714285714
12392, GREEDY, UCBV (1.1) (1.1), -1, 34333444314111341122, -0.628571428571429
11221, GREEDY, UCBV (1.1) (1.1), -1, 323332223520325050005544, -0.514285714285714
13200, GREEDY, UCBV (1.1) (1.1), -1, 3233322422304144, -0.742857142857143
99932, GREEDY, UCBV (1.1) (1.1), -1, 3433303040044141161636651155, -0.4
65651, GREEDY, UCBV (1.1) (1.1), 0, 323233242442443326466066000016111510555155, 0
83737, GREEDY, UCBV (1.1) (1.1), -1, 32333222352550553244, -0.628571428571429
20991, GREEDY, UCBV (1.1) (1.1), -1, 3433344431411212, -0.742857142857143
93715, GREEDY, UCBV (2) (2), -1, 313332332121142242444411, -0.514285714285714
62735, GREEDY, UCBV (2) (2), -1, 363336366131141144414555, -0.514285714285714
42394, GREEDY, UCBV (2) (2), -1, 333133311414414422, -0.685714285714286
12312, GREEDY, UCBV (2) (2), -1, 34313331161646644344112022, -0.457142857142857
50452, GREEDY, UCBV (2) (2), 1, 333434443344222556225, 0.48
22323, GREEDY, UCBV (2) (2), -1, 3433344244332522, -0.742857142857143
39123, GREEDY, UCBV (2) (2), 1, 333431334141164416266222212004055, 0.205714285714286
75675, GREEDY, UCBV (2) (2), -1, 33313431144344141122, -0.628571428571429
12392, GREEDY, UCBV (2) (2), 1, 33343443404431111616266550222, 0.297142857142857
11221, GREEDY, UCBV (2) (2), -1, 3133353315155111502222252644, -0.4
13200, GREEDY, UCBV (2) (2), -1, 35353335522326225444, -0.628571428571429
99932, GREEDY, UCBV (2) (2), -1, 3133353445444352212114225211, -0.4
65651, GREEDY, UCBV (2) (2), -1, 303433314141124422, -0.685714285714286
83737, GREEDY, UCBV (2) (2), -1, 3233353525522424444530200606466606, -0.228571428571429
20991, GREEDY, UCBV (2) (2), -1, 3233322235244144, -0.742857142857143
93715, GREEDY, UCBV (0.8) (0.8), 1, 3334303344442220252250011411551, 0.251428571428571
62735, GREEDY, UCBV (0.8) (0.8), -1, 3135333551121022, -0.742857142857143
42394, GREEDY, UCBV (0.8) (0.8), -1, 34343341413114341222, -0.628571428571429
12312, GREEDY, UCBV (0.8) (0.8), -1, 3133353551115535112222202644, -0.4
50452, GREEDY, UCBV (0.8) (0.8), -1, 34333131144411422622, -0.628571428571429
22323, GREEDY, UCBV (0.8) (0.8), -1, 34333131144410463122, -0.628571428571429
39123, GREEDY, UCBV (0.8) (0.8), -1, 333535335225242244, -0.685714285714286
75675, GREEDY, UCBV (0.8) (0.8), 1, 32363332262665223550505500444, 0.297142857142857
12392, GREEDY, UCBV (0.8) (0.8), -1, 343433404131161144312622, -0.514285714285714
11221, GREEDY, UCBV (0.8) (0.8), -1, 3133313114444430100222, -0.571428571428571
13200, GREEDY, UCBV (0.8) (0.8), -1, 32333222342445, -0.8
99932, GREEDY, UCBV (0.8) (0.8), 1, 333232232522365050550041161, 0.342857142857143
65651, GREEDY, UCBV (0.8) (0.8), 1, 333235352325522055200441444, 0.342857142857143
